name,latitude,elevation,location,last_updated
Nanded Airport,19.18330002,1250,Nanded,2010-09-08T18:06:27+00:00
Nawapara Airport,20.87000084,1058,Nawapara,2009-01-30T17:15:43+00:00
Neyveli Airport,11.61295605,184,Neyveli,2014-02-20T18:52:02+00:00
Pasighat Airport,28.06609917,477,Pasighat,2008-06-13T14:30:04+00:00
Rajouri Airport,33.37789917,3000,Rajouri,2008-06-13T14:30:04+00:00
Ramnad Naval Air Station,9.325090408,16,Ramnad,2010-05-17T12:26:02+00:00
Hirakud Airport,21.5802002,658,Sambalpur,2008-06-13T14:30:04+00:00
Solapur Airport,17.62800026,1584,Solapur,2012-10-22T21:27:15+00:00
Tezu Airport,27.94120026,800,Tezu,2013-02-21T14:47:06+00:00
Tanjore Air Force Base,10.72239971,253,Thanjavur,2008-06-13T14:30:04+00:00
Tuticorin Airport,8.724241,129,Thoothukudi,2017-01-08T18:23:15+00:00
Bentayan Airport,23.0951004,1666,Ujjain,2009-01-30T17:01:23+00:00
Vellore Airport,12.90880013,764,Vellore,2008-06-13T14:30:04+00:00
Warangal Airport,17.9144,935,Warangal,2018-04-30T10:23:17+00:00
Tawang Air Force Station,27.58846092,8756,Unknown,2008-09-22T16:22:42+00:00
Siachen Glacier AFS Airport,35.5,22000,Unknown,2008-06-13T14:30:04+00:00
Cooch Behar Airport,26.33049965,138,Unknown,2010-10-30T00:57:32+00:00
Walong Advanced Landing Ground,28.129673,16,Unknown,2015-11-29T01:00:22+00:00
Itanagar (Naharlagun),27.111675,16,Unknown,2012-03-25T10:36:44+00:00
Itanagar (Naharlagun),27.111675,466,Unknown,2012-03-25T10:39:06+00:00
Ledo Airfield,27.3025,16,Unknown,2010-03-15T05:51:36+00:00
Dinjan Airfield,27.538017,16,Unknown,2010-03-15T06:09:47+00:00
Madhubani Airport,26.32916667,16,Unknown,2012-01-13T09:39:40+00:00
Madhubani Airport,26.32916667,16,Unknown,2012-01-13T09:36:52+00:00
saharsa airstrip,25.89194444,16,Unknown,2014-02-21T03:15:21+00:00
Raigarh Airport (JSPL),21.93528056,16,Unknown,2012-03-25T04:14:07+00:00
INDRA GANDHI AIRPORT,0.0,16,Unknown,2019-03-23T01:10:07+00:00
Annandale Helipad,31.11138889,6120,Unknown,2012-08-26T03:58:13+00:00
Ajog Helipad,32.92194444,7460,Unknown,2012-08-26T04:09:38+00:00
Noamundi Airport,22.19222222,16,Unknown,2013-11-12T08:55:27+00:00
Leh Helipad,34.12866974,10682,Unknown,2008-12-06T07:04:59+00:00
Vijayanagar Aerodrome (JSW),15.17496667,1670,Unknown,2012-04-29T13:30:01+00:00
Baldota Koppal Aerodrome,15.36009444,16,Unknown,2012-03-25T04:03:13+00:00
@@ Online Istikhara for Love Problem +91-9828783978 (>,0.0,16,Unknown,2019-03-29T08:05:16+00:00
Perunad Helipad,9.3539,16,Unknown,2015-09-04T10:03:21+00:00
Kavaratti Helipad,10.54166794,16,Unknown,2008-12-10T03:41:20+00:00
Baljek Airport,25.66148758,16,Unknown,2009-07-19T04:52:24+00:00
Erase Me 16,-0.5,16,Unknown,2017-11-26T09:33:29+00:00
Koirengei Airstrip,24.87245941,16,Unknown,2009-06-14T05:07:52+00:00
Khargon Govt. Airstrip,21.81003019,16,Unknown,2010-12-27T06:18:15+00:00
CHINDWARA AIRFIELD,22.0,16,Unknown,2013-09-16T09:13:32+00:00
Thuampui Helipad,23.74586667,3214,Unknown,2010-11-11T12:09:29+00:00
Pukpui Helipad,22.94226667,16,Unknown,2010-11-11T12:33:22+00:00
Lunglei Helipad,22.86838333,16,Unknown,2010-11-11T12:55:12+00:00
Vairengte Helipad,24.47891667,16,Unknown,2010-11-11T13:09:24+00:00
Angul Airport (JSPL),20.91195,16,Unknown,2012-03-25T04:28:20+00:00
Jajpur ( Sukinda ) Airstrip,21.03194444,400,Unknown,2014-02-21T06:25:00+00:00
